join_key,experiment,experiment_date,model.loss,model.model_architecture,model.pos_weight,model.alpha,model.lr,dataloader.batch_size,training.max_epochs,threshold,TN,FP,FN,TP,precision,recall,TPR,FPR,f1score,accuracy,prevalence,fp_per_mneg,metrics_path,config_path
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.66,89144630,317966,33883,156769,0.3302242159843445,0.8222782611846924,0.8222782611846924,0.0035541781689971685,0.47121147155826726,0.9960754461455763,0.0021265487224735014,3554.1781058980223,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.65,89139972,322624,33240,157412,0.32791706919670105,0.8256509304046631,0.8256509304046631,0.0036062446888536215,0.4694045489670089,0.9960306624920048,0.0021265487224735014,3606.244558340337,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.64,89135415,327181,32619,158033,0.32569754123687744,0.8289081454277039,0.8289081454277039,0.003657182212918997,0.4676459643238389,0.9959867600111934,0.0021265487224735014,3657.182047344121,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.63,89130985,331611,32015,158637,0.3235852122306824,0.8320762515068054,0.8320762515068054,0.0037067001685500145,0.46596270427703856,0.9959440844797949,0.0021265487224735014,3706.6999486578725,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.62,89126652,335944,31388,159264,0.32161030173301697,0.8353649377822876,0.8353649377822876,0.003755133831873536,0.46442129532503373,0.995902747438665,0.0021265487224735014,3755.133597956402,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.61,89122144,340452,30805,159847,0.31950294971466064,0.8384228944778442,0.8384228944778442,0.003805523505434394,0.46268694880160244,0.9958589676527949,0.0021265487224735014,3805.5233720246615,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.6,89117799,344797,30255,160397,0.31749585270881653,0.8413076996803284,0.8413076996803284,0.00385409127920866,0.4610129213873835,0.9958166378980492,0.0021265487224735014,3854.091155593115,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.59,89113462,349134,29720,160932,0.31551212072372437,0.8441138863563538,0.8441138863563538,0.0039025696460157633,0.4593345799258997,0.9957742300647044,0.0021265487224735014,3902.5695163149526,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.5800000000000001,89109115,353481,29156,161496,0.31359848380088806,0.8470721244812012,0.8470721244812012,0.00395115977153182,0.457736298329251,0.9957320341589855,0.0021265487224735014,3951.15965559506,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.5700000000000001,89104847,357749,28623,162029,0.3117273151874542,0.8498678207397461,0.8498678207397461,0.003998866770416498,0.45614346312141796,0.9956903736493741,0.0021265487224735014,3998.8667442648325,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
