join_key,experiment,experiment_date,model.loss,model.model_architecture,model.pos_weight,model.alpha,model.lr,dataloader.batch_size,training.max_epochs,metrics.FPR_no_plume,metrics.frac_total_easy,metrics.precision_easy,metrics.recall_easy,metrics.f1score_easy,metrics.iou_easy,metrics.accuracy_easy,metrics.cohen_kappa_easy,metrics.balanced_accuracy_easy,metrics.precision_hard,metrics.recall_hard,metrics.f1score_hard,metrics.iou_hard,metrics.accuracy_hard,metrics.cohen_kappa_hard,metrics.balanced_accuracy_hard,metrics.frac_total_hard,metrics.precision,metrics.recall,metrics.f1score,metrics.iou,metrics.accuracy,metrics.cohen_kappa,metrics.balanced_accuracy
2025-10-13-05-48-42-1535039,2025-10-13_05-48-42_1535039,2025-10-13_05-48-42_1535039,JaccardLoss,deeplabv3_resnet50,1,0.5,0.0001,8,150,0.0034092058454241072,0.09064327485380116,0.8272707501701265,0.7737025129584673,0.7995904404460402,0.6660980280289893,0.9927261106429561,0.7958904977754573,0.8853074369866644,0.32184062790290663,0.6251242089848857,0.4249162378578221,0.26977374033741464,0.9981849614311668,0.4241006498788108,0.8118548835863004,0.39766081871345027,0.3800084590911865,0.7438998818397522,0.5030450820922852,0.3360455334186554,0.9968744516372681,0.501642107963562,0.8706567287445068
2025-10-13-05-48-42-1535040,2025-10-13_05-48-42_1535040,2025-10-13_05-48-42_1535040,JaccardLoss,deeplabv3_resnet50,1,0.5,0.0001,16,150,0.0055224609375,0.09064327485380116,0.7052196275867599,0.8078538153664457,0.7530558010525962,0.6039210108104927,0.9900632058420489,0.7480091961341795,0.9006998164194817,0.2586783565547815,0.6835678050311176,0.3753248431420408,0.2310153150048163,0.9975592669318704,0.3743511106468236,0.840732119731455,0.39766081871345027,0.2821711599826813,0.7829238772392273,0.4148334562778473,0.26169708371162415,0.9953028559684753,0.4129983186721802,0.8893396854400635
2025-10-13-05-48-42-1535041,2025-10-13_05-48-42_1535041,2025-10-13_05-48-42_1535041,HybridBCEJaccardLoss,deeplabv3_resnet50,1,0.5,0.0001,4,150,0.004325648716517857,0.09064327485380116,0.8408454863796814,0.784594186733154,0.8117464972303682,0.6831425241653527,0.9931748913180444,0.8082751791205451,0.8908778654556548,0.31081049121396304,0.6873071492076774,0.42805028988339516,0.2723053333885873,0.9980298210592831,0.42720411372835365,0.8428353138520115,0.39766081871345027,0.3430318534374237,0.7650798559188843,0.47368285059928894,0.3103436529636383,0.9963844418525696,0.47213274240493774,0.8809786438941956
2025-10-13-05-48-42-1535042,2025-10-13_05-48-42_1535042,2025-10-13_05-48-42_1535042,HybridBCEJaccardLoss,deeplabv3_resnet50,1,0.5,0.0001,8,150,0.003751743861607143,0.09064327485380116,0.8213497470766447,0.7862344990486189,0.803408603304012,0.6714143236549862,0.9927835772114415,0.7997347156707301,0.8914829490793914,0.30224229028025673,0.6686365775848544,0.41630373729068815,0.26286842186423776,0.997988785014433,0.4154400711644908,0.8334895123187113,0.39766081871345027,0.3611462414264679,0.7626460790634155,0.4901738166809082,0.3246557414531708,0.9966263771057129,0.4886980652809143,0.8798855543136597
2025-10-13-05-48-42-1535043,2025-10-13_05-48-42_1535043,2025-10-13_05-48-42_1535043,HybridBCEJaccardLoss,deeplabv3_resnet50,1,0.5,0.0001,16,150,0.004141736711774553,0.09064327485380116,0.8282118713107608,0.7604159832032019,0.7928673070081822,0.6568186841523613,0.9925485426379789,0.7890803715422792,0.878700665466112,0.2395611530712601,0.6560587835364259,0.35096627987493967,0.21283147554333995,0.9973972264458152,0.3499447265300095,0.826911271486213,0.39766081871345027,0.32435017824172974,0.7394834756851196,0.45091933012008667,0.29108837246894836,0.9961702227592468,0.44929128885269165,0.8681004047393799
2025-10-13-05-48-42-1535045,2025-10-13_05-48-42_1535045,2025-10-13_05-48-42_1535045,HybridBCEJaccardLoss,deeplabv3_resnet50,5,0.5,0.0001,4,150,0.0012929207938058036,0.09064327485380116,0.8589249120797502,0.6297749491503182,0.7267138352280256,0.570738813735692,0.9911165545063634,0.7223074310045021,0.813898956062493,0.20436311187235193,0.23712148946184822,0.21952695669014938,0.1232969842003644,0.9981914408066693,0.21862661838255693,0.6180650877942626,0.39766081871345027,0.48762962222099304,0.5510144233703613,0.5173879265785217,0.34897056221961975,0.9978139996528625,0.5162965655326843,0.7748903036117554
2025-10-13-05-48-42-1535046,2025-10-13_05-48-42_1535046,2025-10-13_05-48-42_1535046,HybridBCEJaccardLoss,deeplabv3_resnet50,5,0.5,0.0001,8,150,0.0016878182547433035,0.09064327485380116,0.8508102288021534,0.5184633554228725,0.6443035652404345,0.4752565166660652,0.9892638421827747,0.6391789466312949,0.758362859918128,0.46659042640091486,0.5974582919303384,0.5239766081871344,0.3549920760697306,0.998835563659668,0.5234025054764648,0.7983624294688628,0.39766081871345027,0.4645691215991974,0.5343086123466492,0.49700433015823364,0.33067581057548523,0.9977000951766968,0.4958573579788208,0.7664982080459595
2025-10-13-05-48-42-1535047,2025-10-13_05-48-42_1535047,2025-10-13_05-48-42_1535047,HybridBCEJaccardLoss,deeplabv3_resnet50,5,0.5,0.0001,16,150,0.00378875732421875,0.09064327485380116,0.8417521069300553,0.7202086477265272,0.7762514453013121,0.634322665649596,0.9922132184428554,0.7723135216029963,0.8588103772709781,0.2109895458370935,0.5441138015794154,0.30407049385151574,0.17929430011632416,0.9973283935995663,0.3029930063411369,0.7709644310068943,0.39766081871345027,0.3241409659385681,0.6848865747451782,0.44002723693847656,0.28207364678382874,0.9962930679321289,0.43840599060058594,0.8409216403961182
2025-10-13-05-48-42-1535048,2025-10-13_05-48-42_1535048,2025-10-13_05-48-42_1535048,HybridBCEJaccardLoss,deeplabv3_resnet50,15,0.5,0.0001,4,150,0.004986158098493304,0.09064327485380116,0.7330261730488672,0.771425759464602,0.7517359113054821,0.6022250564715644,0.9904438141853579,0.7468672907250375,0.8830278590389373,0.23014623172103488,0.6152659379739553,0.3349872221075336,0.20119198276156924,0.9973796676186955,0.33394731457617866,0.8065279617680539,0.39766081871345027,0.28716039657592773,0.7401024103164673,0.4137755036354065,0.2608555853366852,0.99554044008255,0.41197365522384644,0.8680936098098755
2025-10-13-05-48-42-1535049,2025-10-13_05-48-42_1535049,2025-10-13_05-48-42_1535049,HybridBCEJaccardLoss,deeplabv3_resnet50,15,0.5,0.0001,8,150,0.0058687264578683035,0.09064327485380116,0.7805265753140247,0.7893248474509547,0.7849010563127573,0.6459564962923586,0.9918862619707661,0.7807663343416845,0.8925413570760666,0.16084749966611336,0.44090267245436954,0.23570609779964774,0.1335979779251547,0.9969329272999483,0.2345028312064844,0.7192163355917487,0.39766081871345027,0.25968649983406067,0.7194364666938782,0.3816230297088623,0.23580603301525116,0.9950418472290039,0.37968456745147705,0.8575328588485718
2025-10-13-05-48-42-1535050,2025-10-13_05-48-42_1535050,2025-10-13_05-48-42_1535050,HybridBCEJaccardLoss,deeplabv3_resnet50,15,0.5,0.0001,16,150,0.00047568184988839283,0.09064327485380116,0.8466228893058161,0.023686109835312642,0.04608294930875576,0.02358490566037736,0.9816089753181704,0.04510814756965342,0.511802046918463,0.273089511882738,0.050180429893834005,0.08478208045240673,0.044267589388696654,0.9988378917469698,0.0844771997196454,0.5250185002507787,0.39766081871345027,0.16697369515895844,0.029000483453273773,0.04941791668534279,0.025334957987070084,0.9976274967193604,0.04881924390792847,0.5143460631370544
2025-10-13-05-52-06-1535051,2025-10-13_05-52-06_1535051,2025-10-13_05-52-06_1535051,BCEWithLogitsLoss,fcn_resnet50,1,0.5,0.0001,4,150,0.0036895533970424106,0.09064327485380116,0.837608082279057,0.6038186470704022,0.7017538508464236,0.5405399055517703,0.9903741651965726,0.6969927340518072,0.8007905701382465,0.2460183813832701,0.6341718529365619,0.354509574623593,0.2154431099424348,0.9975228029138902,0.3535103024648114,0.8160424130569308,0.39766081871345027,0.3078576922416687,0.6099070310592651,0.4091780185699463,0.25721168518066406,0.9962544441223145,0.4075034260749817,0.8034924268722534
2025-10-14-13-21-02-1535052,2025-10-14_13-21-02_1535052,2025-10-14_13-21-02_1535052,BCEWithLogitsLoss,fcn_resnet50,1,0.5,0.0001,8,150,0.0019763401576450893,0.09064327485380116,0.8596828222727166,0.7223738599829408,0.7850697205118423,0.6461849982392299,0.9925818904753654,0.7813244599855955,0.8600601505640926,0.4606886555661611,0.6815281627529941,0.5497595342558218,0.37908164007388767,0.9988025777480182,0.5491824651575692,0.8403357166361141,0.39766081871345027,0.49457693099975586,0.7141808271408081,0.5844303369522095,0.412858784198761,0.9978401064872742,0.5833834409713745,0.8563127517700195
2025-10-14-13-26-11-1535053,2025-10-14_13-26-11_1535053,2025-10-14_13-26-11_1535053,BCEWithLogitsLoss,fcn_resnet50,1,0.5,0.0001,16,150,0.0009314400809151786,0.09064327485380116,0.8684241460107988,0.7270979594514796,0.7915019445247967,0.6549468085106382,0.9928156945013231,0.7878759949386336,0.8624961902663255,0.4841877527984197,0.6730035040008367,0.5631913520137423,0.391973804447152,0.9988801900078269,0.5626456728487137,0.8361168119967535,0.39766081871345027,0.61100172996521,0.7162473797798157,0.6594517827033997,0.4919269382953644,0.9984268546104431,0.6586683392524719,0.8576378226280212
2025-10-14-14-01-54-1535054,2025-10-14_14-01-54_1535054,2025-10-14_14-01-54_1535054,BCEWithLogitsLoss,fcn_resnet50,5,0.5,0.0001,4,150,0.003263942173549107,0.09064327485380116,0.7421653895546643,0.8000787349911423,0.7700347001859729,0.6260621338686574,0.9910375533565399,0.7654709904361072,0.8973830649423153,0.2825309072692466,0.8258720778201977,0.42102807475937826,0.2666469669466841,0.9975635865155388,0.4201011187381569,0.9118100142870798,0.39766081871345027,0.3605324327945709,0.8052524924278259,0.4980672597885132,0.331617534160614,0.996548593044281,0.4965882897377014,0.9011043906211853
2025-10-14-14-25-35-1535055,2025-10-14_14-25-35_1535055,2025-10-14_14-25-35_1535055,BCEWithLogitsLoss,fcn_resnet50,5,0.5,0.0001,8,150,0.0009450857979910715,0.09064327485380116,0.7831729889892819,0.7023686109835313,0.7405731679897611,0.5880239718314502,0.9907710167669481,0.7358892619059711,0.8493259659319884,0.39482866476680334,0.7426912818367241,0.5155704003557913,0.34731886273310913,0.9985029276679543,0.5148909144134419,0.8707344514377455,0.39766081871345027,0.53755122423172,0.7104567289352417,0.6120263338088989,0.44094955921173096,0.998084545135498,0.6110846996307373,0.8545771837234497
2025-10-14-14-27-23-1535056,2025-10-14_14-27-23_1535056,2025-10-14_14-27-23_1535056,BCEWithLogitsLoss,fcn_resnet50,5,0.5,0.0001,16,150,0.0005798121861049107,0.09064327485380116,0.799340065198378,0.6596220720425169,0.722790998633978,0.5659144257994787,0.990510755969632,0.7180087894070408,0.8282285912572777,0.42339487256147695,0.7406254902986246,0.5387827311032272,0.36872184757986826,0.9986398640800925,0.5381523130916415,0.8697712065315661,0.39766081871345027,0.587675154209137,0.6758701801300049,0.6286947131156921,0.4584643840789795,0.9983022809028625,0.6278480291366577,0.8374298810958862
2025-10-14-14-27-23-1535057,2025-10-14_14-27-23_1535057,2025-10-14_14-27-23_1535057,BCEWithLogitsLoss,fcn_resnet50,15,0.5,0.0001,4,150,0.0037657819475446427,0.09064327485380116,0.6642611496260713,0.79841217767863,0.7251847437425508,0.5688547734136148,0.9886509064705141,0.7194403140253929,0.8953495812209818,0.262526475642409,0.8588985931698133,0.4021376494426318,0.25167227283523996,0.997260570526123,0.401153686428806,0.9281538691577362,0.39766081871345027,0.3212316036224365,0.8105448484420776,0.46011313796043396,0.29879674315452576,0.9959549903869629,0.4584636688232422,0.9034475088119507
2025-10-14-14-27-23-1535058,2025-10-14_14-27-23_1535058,2025-10-14_14-27-23_1535058,BCEWithLogitsLoss,fcn_resnet50,15,0.5,0.0001,8,150,0.0016500418526785715,0.09064327485380116,0.7310457624867163,0.5777376812545109,0.6454126322116266,0.4764643813749628,0.9880942067792339,0.6394425652858637,0.786837565193204,0.359625652551342,0.7908059201924585,0.4944128826582744,0.3283854364609688,0.9982651261722341,0.49366619700953995,0.8946469091757625,0.39766081871345027,0.42212483286857605,0.6204760670661926,0.502432644367218,0.33549919724464417,0.997386634349823,0.5011700391769409,0.8093329668045044
2025-10-14-14-45-48-1535059,2025-10-14_14-45-48_1535059,2025-10-14_14-45-48_1535059,BCEWithLogitsLoss,fcn_resnet50,15,0.5,0.0001,16,150,0.0006146240234375,0.09064327485380116,0.7535962365393803,0.6726789580736172,0.7108422457575705,0.5514005120151453,0.9897361263152091,0.7056347015175477,0.8342375369130156,0.36020581142707064,0.7890016212541185,0.49460691102222804,0.3285566505145097,0.9982704274794635,0.4938614229972156,0.8937483819445728,0.39766081871345027,0.5350494384765625,0.6960116028785706,0.6050075888633728,0.43369948863983154,0.9980673789978027,0.6040554046630859,0.8473613858222961
2025-10-14-14-47-05-1535060,2025-10-14_14-47-05_1535060,2025-10-14_14-47-05_1535060,JaccardLoss,fcn_resnet50,1,0.5,0.0001,4,150,0.0,0.09064327485380116,,0.0,,0.0,0.9812452254756805,0.0,0.5,,0.0,,0.0,0.9989273407879997,0.0,0.5,0.39766081871345027,,0.0,,0.0,0.9978734254837036,0.0,0.5
2025-10-14-16-18-57-1535061,2025-10-14_16-18-57_1535061,2025-10-14_16-18-57_1535061,JaccardLoss,fcn_resnet50,1,0.5,0.0001,8,150,0.005579136439732143,0.09064327485380116,0.7216169402751258,0.8009185748966603,0.7592025350702337,0.6118666071849264,0.9904715015042213,0.754355572186815,0.8975065233963184,0.237043222538893,0.6829140735317191,0.3519297110823631,0.21354047424366313,0.9973021114573759,0.3508959874356411,0.8402768891683665,0.39766081871345027,0.276836097240448,0.7772486209869385,0.4082602858543396,0.2564868628978729,0.9952086806297302,0.4063987135887146,0.8864609003067017
2025-10-15-05-47-28-1530479,2025-10-15_05-47-28_1530479,2025-10-15_05-47-28_1530479,JaccardLoss,segformer,1,0.5,0.0001,8,150,0.0024793788364955356,0.09064327485380116,0.9260080743226811,0.62455875598714,0.7459806821966655,0.5948717628237177,0.9920227296890751,0.7420839275523257,0.8118024562170182,0.2681459438478458,0.32516604780084724,0.2939160442469509,0.1722752524902675,0.9983241698321175,0.2930848910248738,0.662106531129821,0.39766081871345027,0.4093552529811859,0.5645049810409546,0.4745713174343109,0.3111068606376648,0.9973418712615967,0.47327280044555664,0.7813846468925476
